Iter 1, Loss = 1.174100, Training Accuracy = 0.26562, Validation Accuracy = 0.22794
Iter 31, Loss = 0.936096, Training Accuracy = 0.62500, Validation Accuracy = 0.50735
Iter 32, Loss = 0.925601, Training Accuracy = 0.61719, Validation Accuracy = 0.50735
Iter 33, Loss = 0.909652, Training Accuracy = 0.60938, Validation Accuracy = 0.51103
Iter 34, Loss = 0.916359, Training Accuracy = 0.56250, Validation Accuracy = 0.51103
Iter 35, Loss = 0.909475, Training Accuracy = 0.58594, Validation Accuracy = 0.51103
Iter 36, Loss = 0.893727, Training Accuracy = 0.57812, Validation Accuracy = 0.51103
Iter 37, Loss = 0.872516, Training Accuracy = 0.57812, Validation Accuracy = 0.51103
Iter 38, Loss = 0.883738, Training Accuracy = 0.60156, Validation Accuracy = 0.50735
Iter 39, Loss = 0.872692, Training Accuracy = 0.58594, Validation Accuracy = 0.52574
Iter 40, Loss = 0.862024, Training Accuracy = 0.58594, Validation Accuracy = 0.52941
Iter 41, Loss = 0.863786, Training Accuracy = 0.58594, Validation Accuracy = 0.54779
Iter 42, Loss = 0.859976, Training Accuracy = 0.58594, Validation Accuracy = 0.53676
Iter 43, Loss = 0.846043, Training Accuracy = 0.60156, Validation Accuracy = 0.53676
Iter 44, Loss = 0.851620, Training Accuracy = 0.62500, Validation Accuracy = 0.53676
Iter 45, Loss = 0.837804, Training Accuracy = 0.57031, Validation Accuracy = 0.53676
Iter 46, Loss = 0.840527, Training Accuracy = 0.57812, Validation Accuracy = 0.53309
Iter 47, Loss = 0.838100, Training Accuracy = 0.57812, Validation Accuracy = 0.52941
Iter 48, Loss = 0.821991, Training Accuracy = 0.56250, Validation Accuracy = 0.52941
Iter 49, Loss = 0.826642, Training Accuracy = 0.60938, Validation Accuracy = 0.53309
Iter 50, Loss = 0.830566, Training Accuracy = 0.62500, Validation Accuracy = 0.53676
Iter 51, Loss = 0.830058, Training Accuracy = 0.63281, Validation Accuracy = 0.53676
Iter 52, Loss = 0.830950, Training Accuracy = 0.60938, Validation Accuracy = 0.53309
Iter 53, Loss = 0.814148, Training Accuracy = 0.59375, Validation Accuracy = 0.53309
Iter 54, Loss = 0.819956, Training Accuracy = 0.64062, Validation Accuracy = 0.52941
Iter 55, Loss = 0.814877, Training Accuracy = 0.64062, Validation Accuracy = 0.52941
Iter 56, Loss = 0.804428, Training Accuracy = 0.63281, Validation Accuracy = 0.52574
Iter 57, Loss = 0.806210, Training Accuracy = 0.62500, Validation Accuracy = 0.51838
Iter 58, Loss = 0.817560, Training Accuracy = 0.63281, Validation Accuracy = 0.52574
Iter 59, Loss = 0.804496, Training Accuracy = 0.64844, Validation Accuracy = 0.52574
Iter 60, Loss = 0.800835, Training Accuracy = 0.62500, Validation Accuracy = 0.52941
Iter 61, Loss = 0.803124, Training Accuracy = 0.62500, Validation Accuracy = 0.52941
Iter 62, Loss = 0.793560, Training Accuracy = 0.63281, Validation Accuracy = 0.53309
Iter 63, Loss = 0.799686, Training Accuracy = 0.64844, Validation Accuracy = 0.52941
Iter 64, Loss = 0.801566, Training Accuracy = 0.60156, Validation Accuracy = 0.53676
Iter 65, Loss = 0.807202, Training Accuracy = 0.64844, Validation Accuracy = 0.53676
Iter 66, Loss = 0.790843, Training Accuracy = 0.61719, Validation Accuracy = 0.53676
Iter 67, Loss = 0.789292, Training Accuracy = 0.60156, Validation Accuracy = 0.54044
Iter 68, Loss = 0.793262, Training Accuracy = 0.62500, Validation Accuracy = 0.54044
Iter 69, Loss = 0.788357, Training Accuracy = 0.67188, Validation Accuracy = 0.54412
Iter 70, Loss = 0.774602, Training Accuracy = 0.64062, Validation Accuracy = 0.55147
Iter 71, Loss = 0.788340, Training Accuracy = 0.64062, Validation Accuracy = 0.55147
Iter 72, Loss = 0.782551, Training Accuracy = 0.64062, Validation Accuracy = 0.55515
Iter 73, Loss = 0.777470, Training Accuracy = 0.65625, Validation Accuracy = 0.56250
Iter 74, Loss = 0.773882, Training Accuracy = 0.64062, Validation Accuracy = 0.55515
Iter 75, Loss = 0.781618, Training Accuracy = 0.64844, Validation Accuracy = 0.56250
Iter 76, Loss = 0.776985, Training Accuracy = 0.64062, Validation Accuracy = 0.56250
Iter 77, Loss = 0.777846, Training Accuracy = 0.62500, Validation Accuracy = 0.55882
Iter 78, Loss = 0.784765, Training Accuracy = 0.64844, Validation Accuracy = 0.55515
Iter 79, Loss = 0.781931, Training Accuracy = 0.64062, Validation Accuracy = 0.56618
Iter 80, Loss = 0.770564, Training Accuracy = 0.65625, Validation Accuracy = 0.57353
Iter 81, Loss = 0.778083, Training Accuracy = 0.64844, Validation Accuracy = 0.56618
Iter 82, Loss = 0.766993, Training Accuracy = 0.67188, Validation Accuracy = 0.56985
Iter 83, Loss = 0.775109, Training Accuracy = 0.62500, Validation Accuracy = 0.57353
Iter 84, Loss = 0.771676, Training Accuracy = 0.63281, Validation Accuracy = 0.56985
Iter 85, Loss = 0.764456, Training Accuracy = 0.64844, Validation Accuracy = 0.56250
Iter 86, Loss = 0.745967, Training Accuracy = 0.66406, Validation Accuracy = 0.57721
Iter 87, Loss = 0.778160, Training Accuracy = 0.65625, Validation Accuracy = 0.56250
Iter 88, Loss = 0.765102, Training Accuracy = 0.64844, Validation Accuracy = 0.56618
Iter 89, Loss = 0.757342, Training Accuracy = 0.64844, Validation Accuracy = 0.56250
Iter 90, Loss = 0.762332, Training Accuracy = 0.64062, Validation Accuracy = 0.56250
Iter 91, Loss = 0.763424, Training Accuracy = 0.65625, Validation Accuracy = 0.56985
Iter 92, Loss = 0.750411, Training Accuracy = 0.64062, Validation Accuracy = 0.56618
Iter 93, Loss = 0.741989, Training Accuracy = 0.68750, Validation Accuracy = 0.56985
Iter 94, Loss = 0.772002, Training Accuracy = 0.64844, Validation Accuracy = 0.56250
Iter 95, Loss = 0.768026, Training Accuracy = 0.64844, Validation Accuracy = 0.56985
Iter 96, Loss = 0.755495, Training Accuracy = 0.65625, Validation Accuracy = 0.56618
Iter 97, Loss = 0.749199, Training Accuracy = 0.66406, Validation Accuracy = 0.56985
Iter 98, Loss = 0.767245, Training Accuracy = 0.67188, Validation Accuracy = 0.56618
Iter 99, Loss = 0.778024, Training Accuracy = 0.67188, Validation Accuracy = 0.57353
Iter 100, Loss = 0.757780, Training Accuracy = 0.66406, Validation Accuracy = 0.56250
job arch2_10s_v3_Adam_LR0_00001_BS128_c3_128filters_xavierInitializer_100epochs ended at Mon Feb 10 16:17:47 EST 2020
job took 1 minutes 7 seconds
