Iter 1, Loss = 1.087855, Training Accuracy = 0.42969, Validation Accuracy = 0.48529
Iter 138, Loss = 0.751088, Training Accuracy = 0.67188, Validation Accuracy = 0.63971
Iter 139, Loss = 0.747134, Training Accuracy = 0.64844, Validation Accuracy = 0.64338
Iter 140, Loss = 0.742772, Training Accuracy = 0.64844, Validation Accuracy = 0.64338
Iter 141, Loss = 0.752410, Training Accuracy = 0.64844, Validation Accuracy = 0.63971
Iter 142, Loss = 0.730048, Training Accuracy = 0.64844, Validation Accuracy = 0.63603
Iter 143, Loss = 0.763454, Training Accuracy = 0.65625, Validation Accuracy = 0.64338
Iter 144, Loss = 0.738403, Training Accuracy = 0.63281, Validation Accuracy = 0.64338
Iter 145, Loss = 0.743952, Training Accuracy = 0.67188, Validation Accuracy = 0.64338
Iter 146, Loss = 0.748284, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 147, Loss = 0.752661, Training Accuracy = 0.67188, Validation Accuracy = 0.64338
Iter 148, Loss = 0.758569, Training Accuracy = 0.67188, Validation Accuracy = 0.63971
Iter 149, Loss = 0.752262, Training Accuracy = 0.64062, Validation Accuracy = 0.64338
Iter 150, Loss = 0.749207, Training Accuracy = 0.65625, Validation Accuracy = 0.63971
Iter 151, Loss = 0.746022, Training Accuracy = 0.67188, Validation Accuracy = 0.64338
Iter 152, Loss = 0.744660, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 153, Loss = 0.750613, Training Accuracy = 0.65625, Validation Accuracy = 0.63971
Iter 154, Loss = 0.747835, Training Accuracy = 0.64844, Validation Accuracy = 0.64706
Iter 155, Loss = 0.744065, Training Accuracy = 0.65625, Validation Accuracy = 0.64338
Iter 156, Loss = 0.737628, Training Accuracy = 0.65625, Validation Accuracy = 0.64338
Iter 157, Loss = 0.732943, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 158, Loss = 0.739363, Training Accuracy = 0.64844, Validation Accuracy = 0.64338
Iter 159, Loss = 0.737710, Training Accuracy = 0.64844, Validation Accuracy = 0.64338
Iter 160, Loss = 0.733413, Training Accuracy = 0.66406, Validation Accuracy = 0.64706
Iter 161, Loss = 0.739162, Training Accuracy = 0.64844, Validation Accuracy = 0.64338
Iter 162, Loss = 0.744206, Training Accuracy = 0.65625, Validation Accuracy = 0.63971
Iter 163, Loss = 0.753571, Training Accuracy = 0.67969, Validation Accuracy = 0.64338
Iter 164, Loss = 0.736245, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 165, Loss = 0.741868, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 166, Loss = 0.745988, Training Accuracy = 0.67188, Validation Accuracy = 0.64706
Iter 167, Loss = 0.748773, Training Accuracy = 0.64844, Validation Accuracy = 0.64338
Iter 168, Loss = 0.738429, Training Accuracy = 0.66406, Validation Accuracy = 0.64706
Iter 169, Loss = 0.742497, Training Accuracy = 0.65625, Validation Accuracy = 0.64338
Iter 170, Loss = 0.722552, Training Accuracy = 0.64062, Validation Accuracy = 0.65074
Iter 171, Loss = 0.720516, Training Accuracy = 0.62500, Validation Accuracy = 0.64706
Iter 172, Loss = 0.739556, Training Accuracy = 0.62500, Validation Accuracy = 0.64706
Iter 173, Loss = 0.725281, Training Accuracy = 0.64844, Validation Accuracy = 0.64706
Iter 174, Loss = 0.741220, Training Accuracy = 0.67188, Validation Accuracy = 0.64706
Iter 175, Loss = 0.742251, Training Accuracy = 0.65625, Validation Accuracy = 0.63971
Iter 176, Loss = 0.734685, Training Accuracy = 0.67969, Validation Accuracy = 0.63603
Iter 177, Loss = 0.737025, Training Accuracy = 0.67969, Validation Accuracy = 0.64706
Iter 178, Loss = 0.728042, Training Accuracy = 0.66406, Validation Accuracy = 0.64706
Iter 179, Loss = 0.723994, Training Accuracy = 0.66406, Validation Accuracy = 0.63971
Iter 180, Loss = 0.742538, Training Accuracy = 0.64844, Validation Accuracy = 0.64706
Iter 181, Loss = 0.732945, Training Accuracy = 0.68750, Validation Accuracy = 0.64706
Iter 182, Loss = 0.731970, Training Accuracy = 0.65625, Validation Accuracy = 0.64338
Iter 183, Loss = 0.721736, Training Accuracy = 0.67969, Validation Accuracy = 0.63971
Iter 184, Loss = 0.736613, Training Accuracy = 0.66406, Validation Accuracy = 0.63971
Iter 185, Loss = 0.729800, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 186, Loss = 0.729059, Training Accuracy = 0.64844, Validation Accuracy = 0.64338
Iter 187, Loss = 0.720428, Training Accuracy = 0.67969, Validation Accuracy = 0.64706
Iter 188, Loss = 0.727487, Training Accuracy = 0.67969, Validation Accuracy = 0.64706
Iter 189, Loss = 0.733981, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 190, Loss = 0.729676, Training Accuracy = 0.65625, Validation Accuracy = 0.65074
Iter 191, Loss = 0.723266, Training Accuracy = 0.66406, Validation Accuracy = 0.64706
Iter 192, Loss = 0.725173, Training Accuracy = 0.64844, Validation Accuracy = 0.64706
Iter 193, Loss = 0.729176, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 194, Loss = 0.725810, Training Accuracy = 0.68750, Validation Accuracy = 0.65074
Iter 195, Loss = 0.722132, Training Accuracy = 0.65625, Validation Accuracy = 0.65074
Iter 196, Loss = 0.702838, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 197, Loss = 0.715504, Training Accuracy = 0.65625, Validation Accuracy = 0.65074
Iter 198, Loss = 0.734339, Training Accuracy = 0.64062, Validation Accuracy = 0.64706
Iter 199, Loss = 0.727254, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 200, Loss = 0.709531, Training Accuracy = 0.69531, Validation Accuracy = 0.63971
Iter 201, Loss = 0.727784, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 202, Loss = 0.735267, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 203, Loss = 0.737204, Training Accuracy = 0.66406, Validation Accuracy = 0.65441
Iter 204, Loss = 0.716274, Training Accuracy = 0.67969, Validation Accuracy = 0.64338
Iter 205, Loss = 0.695851, Training Accuracy = 0.64844, Validation Accuracy = 0.63971
Iter 206, Loss = 0.733417, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 207, Loss = 0.731295, Training Accuracy = 0.66406, Validation Accuracy = 0.64706
Iter 208, Loss = 0.718827, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 209, Loss = 0.715073, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 210, Loss = 0.734027, Training Accuracy = 0.65625, Validation Accuracy = 0.65074
Iter 211, Loss = 0.717901, Training Accuracy = 0.64844, Validation Accuracy = 0.64706
Iter 212, Loss = 0.716983, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 213, Loss = 0.730770, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 214, Loss = 0.720790, Training Accuracy = 0.68750, Validation Accuracy = 0.64706
Iter 215, Loss = 0.710525, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 216, Loss = 0.728173, Training Accuracy = 0.67188, Validation Accuracy = 0.64338
Iter 217, Loss = 0.709345, Training Accuracy = 0.67188, Validation Accuracy = 0.64338
Iter 218, Loss = 0.714200, Training Accuracy = 0.64062, Validation Accuracy = 0.64706
Iter 219, Loss = 0.713760, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 220, Loss = 0.704409, Training Accuracy = 0.67188, Validation Accuracy = 0.64338
Iter 221, Loss = 0.717686, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 222, Loss = 0.722832, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 223, Loss = 0.713517, Training Accuracy = 0.68750, Validation Accuracy = 0.64338
Iter 224, Loss = 0.719794, Training Accuracy = 0.65625, Validation Accuracy = 0.64338
Iter 225, Loss = 0.717565, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 226, Loss = 0.722486, Training Accuracy = 0.67969, Validation Accuracy = 0.63971
Iter 227, Loss = 0.726793, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 228, Loss = 0.709528, Training Accuracy = 0.65625, Validation Accuracy = 0.64706
Iter 229, Loss = 0.720735, Training Accuracy = 0.63281, Validation Accuracy = 0.64706
Iter 230, Loss = 0.722611, Training Accuracy = 0.63281, Validation Accuracy = 0.64706
Iter 231, Loss = 0.709913, Training Accuracy = 0.64844, Validation Accuracy = 0.64706
Iter 232, Loss = 0.722029, Training Accuracy = 0.66406, Validation Accuracy = 0.64706
Iter 233, Loss = 0.709532, Training Accuracy = 0.66406, Validation Accuracy = 0.64338
Iter 234, Loss = 0.719295, Training Accuracy = 0.67188, Validation Accuracy = 0.64706
Iter 235, Loss = 0.705618, Training Accuracy = 0.64062, Validation Accuracy = 0.64706
Iter 236, Loss = 0.720702, Training Accuracy = 0.67969, Validation Accuracy = 0.64706
Iter 237, Loss = 0.717785, Training Accuracy = 0.64062, Validation Accuracy = 0.65074
Iter 238, Loss = 0.706959, Training Accuracy = 0.64844, Validation Accuracy = 0.64706
Iter 239, Loss = 0.712183, Training Accuracy = 0.67188, Validation Accuracy = 0.64706
Iter 240, Loss = 0.719495, Training Accuracy = 0.65625, Validation Accuracy = 0.65074
Iter 241, Loss = 0.705587, Training Accuracy = 0.64844, Validation Accuracy = 0.65074
Iter 242, Loss = 0.714501, Training Accuracy = 0.68750, Validation Accuracy = 0.65074
Iter 243, Loss = 0.718173, Training Accuracy = 0.64062, Validation Accuracy = 0.64706
Iter 244, Loss = 0.707174, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 245, Loss = 0.725188, Training Accuracy = 0.61719, Validation Accuracy = 0.65074
Iter 246, Loss = 0.721330, Training Accuracy = 0.65625, Validation Accuracy = 0.65074
Iter 247, Loss = 0.710832, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 248, Loss = 0.715839, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 249, Loss = 0.711345, Training Accuracy = 0.66406, Validation Accuracy = 0.65441
Iter 250, Loss = 0.714117, Training Accuracy = 0.64844, Validation Accuracy = 0.65074
Iter 251, Loss = 0.699679, Training Accuracy = 0.67969, Validation Accuracy = 0.65074
Iter 252, Loss = 0.719590, Training Accuracy = 0.64844, Validation Accuracy = 0.65074
Iter 253, Loss = 0.698460, Training Accuracy = 0.67969, Validation Accuracy = 0.65441
Iter 254, Loss = 0.697550, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 255, Loss = 0.711528, Training Accuracy = 0.67969, Validation Accuracy = 0.65074
Iter 256, Loss = 0.725174, Training Accuracy = 0.67188, Validation Accuracy = 0.65074
Iter 257, Loss = 0.698023, Training Accuracy = 0.67969, Validation Accuracy = 0.65074
Iter 258, Loss = 0.704237, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 259, Loss = 0.709403, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 260, Loss = 0.710020, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 261, Loss = 0.696561, Training Accuracy = 0.67188, Validation Accuracy = 0.65074
Iter 262, Loss = 0.700197, Training Accuracy = 0.67188, Validation Accuracy = 0.65441
Iter 263, Loss = 0.708150, Training Accuracy = 0.64062, Validation Accuracy = 0.65074
Iter 264, Loss = 0.715549, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 265, Loss = 0.710790, Training Accuracy = 0.66406, Validation Accuracy = 0.65441
Iter 266, Loss = 0.713685, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 267, Loss = 0.707168, Training Accuracy = 0.64062, Validation Accuracy = 0.65074
Iter 268, Loss = 0.702025, Training Accuracy = 0.67969, Validation Accuracy = 0.65441
Iter 269, Loss = 0.714104, Training Accuracy = 0.67188, Validation Accuracy = 0.65074
Iter 270, Loss = 0.699528, Training Accuracy = 0.67188, Validation Accuracy = 0.65074
Iter 271, Loss = 0.712708, Training Accuracy = 0.67969, Validation Accuracy = 0.65441
Iter 272, Loss = 0.700723, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 273, Loss = 0.720792, Training Accuracy = 0.66406, Validation Accuracy = 0.65074
Iter 274, Loss = 0.715885, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 275, Loss = 0.703982, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 276, Loss = 0.709436, Training Accuracy = 0.64844, Validation Accuracy = 0.65074
Iter 277, Loss = 0.709955, Training Accuracy = 0.67969, Validation Accuracy = 0.65441
Iter 278, Loss = 0.710104, Training Accuracy = 0.68750, Validation Accuracy = 0.65074
Iter 279, Loss = 0.703322, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 280, Loss = 0.710748, Training Accuracy = 0.69531, Validation Accuracy = 0.65809
Iter 281, Loss = 0.710322, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 282, Loss = 0.709925, Training Accuracy = 0.64844, Validation Accuracy = 0.65809
Iter 283, Loss = 0.683709, Training Accuracy = 0.66406, Validation Accuracy = 0.65809
Iter 284, Loss = 0.724969, Training Accuracy = 0.63281, Validation Accuracy = 0.65441
Iter 285, Loss = 0.700166, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 286, Loss = 0.703647, Training Accuracy = 0.64062, Validation Accuracy = 0.65441
Iter 287, Loss = 0.703120, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 288, Loss = 0.700659, Training Accuracy = 0.64844, Validation Accuracy = 0.65809
Iter 289, Loss = 0.709809, Training Accuracy = 0.66406, Validation Accuracy = 0.65809
Iter 290, Loss = 0.711004, Training Accuracy = 0.64844, Validation Accuracy = 0.65809
Iter 291, Loss = 0.701268, Training Accuracy = 0.64844, Validation Accuracy = 0.65441
Iter 292, Loss = 0.696025, Training Accuracy = 0.67188, Validation Accuracy = 0.65441
Iter 293, Loss = 0.698991, Training Accuracy = 0.64844, Validation Accuracy = 0.65441
Iter 294, Loss = 0.697489, Training Accuracy = 0.67188, Validation Accuracy = 0.65441
Iter 295, Loss = 0.681906, Training Accuracy = 0.67188, Validation Accuracy = 0.65809
Iter 296, Loss = 0.702569, Training Accuracy = 0.64844, Validation Accuracy = 0.65441
Iter 297, Loss = 0.704295, Training Accuracy = 0.67969, Validation Accuracy = 0.65809
Iter 298, Loss = 0.704005, Training Accuracy = 0.67188, Validation Accuracy = 0.66544
Iter 299, Loss = 0.709623, Training Accuracy = 0.64062, Validation Accuracy = 0.65809
Iter 300, Loss = 0.705749, Training Accuracy = 0.65625, Validation Accuracy = 0.65441
Iter 301, Loss = 0.699870, Training Accuracy = 0.64844, Validation Accuracy = 0.65441
Iter 302, Loss = 0.700954, Training Accuracy = 0.69531, Validation Accuracy = 0.65809
Iter 303, Loss = 0.694057, Training Accuracy = 0.67188, Validation Accuracy = 0.66176
Iter 304, Loss = 0.706883, Training Accuracy = 0.67969, Validation Accuracy = 0.66176
Iter 305, Loss = 0.699767, Training Accuracy = 0.68750, Validation Accuracy = 0.65809
Iter 306, Loss = 0.687788, Training Accuracy = 0.65625, Validation Accuracy = 0.66176
Iter 307, Loss = 0.705759, Training Accuracy = 0.64062, Validation Accuracy = 0.65809
Iter 308, Loss = 0.702598, Training Accuracy = 0.67969, Validation Accuracy = 0.66544
Iter 309, Loss = 0.695722, Training Accuracy = 0.64844, Validation Accuracy = 0.66176
Iter 310, Loss = 0.713136, Training Accuracy = 0.67969, Validation Accuracy = 0.65809
